CustomerID,Churn_Probability,Risk_Category,MonthlyCharges,Contract,Tenure
6424-ELEYH,1.0,High Risk,74.75,Month-to-month,3
6457-GIRWB,1.0,High Risk,69.35,Month-to-month,1
4822-RVYBB,1.0,High Risk,100.6,Month-to-month,8
1143-NMNQJ,1.0,High Risk,85.7,Month-to-month,2
8375-DKEBR,1.0,High Risk,69.6,Month-to-month,1
1086-LXKFY,1.0,High Risk,69.1,Month-to-month,1
9497-QCMMS,1.0,High Risk,93.55,Month-to-month,1
2636-ALXXZ,1.0,High Risk,69.6,Month-to-month,1
3158-MOERK,1.0,High Risk,96.0,Month-to-month,2
4871-JTKJF,1.0,High Risk,69.65,Month-to-month,1
7908-QCBCA,1.0,High Risk,69.4,Month-to-month,1
3716-BDVDB,1.0,High Risk,69.1,Month-to-month,1
8372-JUXUI,1.0,High Risk,74.35,Month-to-month,1
6502-MJQAE,1.0,High Risk,69.6,Month-to-month,1
6230-BSUXY,1.0,High Risk,85.0,Month-to-month,1
7254-IQWOZ,1.0,High Risk,69.65,Month-to-month,1
9019-QVLZD,1.0,High Risk,79.55,Month-to-month,1
3428-XZMAZ,1.0,High Risk,69.35,Month-to-month,1
7206-GZCDC,1.0,High Risk,69.25,Month-to-month,1
6474-FVJLC,1.0,High Risk,86.0,Month-to-month,2
9728-FTTVZ,1.0,High Risk,69.2,Month-to-month,1
0488-GSLFR,1.0,High Risk,69.5,Month-to-month,1
7660-HDPJV,1.0,High Risk,69.2,Month-to-month,1
5884-GCYMI,1.0,High Risk,69.4,Month-to-month,1
3091-FYHKI,1.0,High Risk,35.45,Month-to-month,1
2506-TNFCO,1.0,High Risk,69.55,Month-to-month,1
1820-TQVEV,1.0,High Risk,69.55,Month-to-month,1
0495-RVCBF,1.0,High Risk,79.7,Month-to-month,1
2777-PHDEI,1.0,High Risk,78.05,Month-to-month,1
7665-TOALD,1.0,High Risk,69.6,Month-to-month,1
9248-OJYKK,1.0,High Risk,76.45,Month-to-month,1
1285-OKIPP,1.0,High Risk,79.9,Month-to-month,1
1447-GIQMR,1.0,High Risk,69.15,Month-to-month,1
8058-INTPH,1.0,High Risk,79.65,Month-to-month,1
0841-NULXI,1.0,High Risk,35.55,Month-to-month,1
6996-KNSML,0.99,High Risk,74.9,Month-to-month,1
0679-IDSTG,0.99,High Risk,69.25,Month-to-month,1
5240-IJOQT,0.99,High Risk,74.7,Month-to-month,1
2720-WGKHP,0.99,High Risk,94.0,Month-to-month,2
5419-JPRRN,0.99,High Risk,101.45,Month-to-month,1
5960-WPXQM,0.99,High Risk,79.05,Month-to-month,1
5178-LMXOP,0.99,High Risk,95.1,Month-to-month,1
5393-RXQSZ,0.99,High Risk,79.6,Month-to-month,1
8884-ADFVN,0.99,High Risk,101.95,Month-to-month,7
4078-SAYYN,0.99,High Risk,100.75,Month-to-month,11
2609-IAICY,0.99,High Risk,77.15,Month-to-month,1
3551-HUAZH,0.99,High Risk,74.4,Month-to-month,1
8740-CRYFY,0.99,High Risk,78.95,Month-to-month,1
6894-LFHLY,0.99,High Risk,75.75,Month-to-month,1
2135-RXIHG,0.99,High Risk,45.65,Month-to-month,1
9300-AGZNL,0.99,High Risk,94.0,Month-to-month,1
8062-YBDOE,0.99,High Risk,69.65,Month-to-month,1
4806-HIPDW,0.99,High Risk,68.95,Month-to-month,1
2514-GINMM,0.99,High Risk,79.5,Month-to-month,1
7851-WZEKY,0.99,High Risk,95.15,Month-to-month,2
4424-TKOPW,0.99,High Risk,93.85,Month-to-month,2
5550-VFRLC,0.9867,High Risk,69.85,Month-to-month,1
